Canal,SubCanal,Grupo 1 ,Grupo 2,Afiliação,VL Receita Total,Receita Net MDR,Receita de antecipação de recebiveis,Outras Receitas,Custo de Net MDR,Custo de antecipação de recebiveis,Custo de Outras Receitas
DIGITAL,SubCanal 1,Grupo B,LARGE B,166406591,57,4,4,0,3,1,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,166579901,330,330,0,0,231,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,166580756,51,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD D,166705766,2,2,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,166750964,134,50,36,0,35,12,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,166774079,78,13,16,0,9,6,0
DIGITAL,SubCanal 1,Grupo B,BASE,166789314,1418,389,1029,0,272,360,0
DIGITAL,SubCanal 1,Grupo B,BASE,166852782,921,921,0,0,645,0,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,166866606,51,0,0,51,0,0,26
DIGITAL,SubCanal 1,Grupo B,BASE,166904499,245,245,0,0,172,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,167013326,56,0,7,0,0,2,0
DIGITAL,SubCanal 1,Grupo B,BASE,167068910,20,20,0,0,14,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,167154150,71,10,12,0,7,4,0
DIGITAL,SubCanal 1,Grupo B,FIELD C,167164235,118,118,0,0,83,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,167230064,49,49,0,0,34,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,167383548,23,5,0,19,3,0,9
DIGITAL,SubCanal 1,Grupo B,FIELD A,167389919,7,3,0,4,2,0,2
DIGITAL,SubCanal 1,Grupo B,FIELD C,1673DE80-7BFE-46CD-8B1B-C96E8D1106C0,9734,0,0,9734,0,0,4867
DIGITAL,SubCanal 1,Grupo B,BASE,167421839,-3,-3,0,0,-2,0,0
DIGITAL,SubCanal 1,Grupo C,LIDER HUNTER,167440318,8,8,0,0,5,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,167562933,71,71,0,0,50,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD A,167581676,1064,138,0,926,97,0,463
DIGITAL,SubCanal 1,Grupo B,LARGE B,167631885,80,11,20,0,8,7,0
DIGITAL,SubCanal 1,Grupo B,BASE,167680725,362,362,0,0,253,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,167816394,39,39,0,0,28,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,167847456,7,0,0,7,0,0,3
DIGITAL,SubCanal 1,Grupo B,BASE,167853501,72,0,0,72,0,0,36
DIGITAL,SubCanal 1,Grupo B,LARGE B,167872587,51,0,2,0,0,1,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,167964677,67,8,10,0,6,4,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,167982819,89,26,14,0,18,5,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,168287984,77,14,14,0,10,5,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,168505997,1013,362,651,0,253,228,0
DIGITAL,SubCanal 1,Grupo B,BASE,168509693,2,2,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,168676260,116,116,0,0,81,0,0
DIGITAL,SubCanal 1,Grupo D,INSIDE,168690551,41,41,0,0,29,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,168713773,72,13,10,0,9,3,0
DIGITAL,SubCanal 1,Grupo B,BASE,168861227,0,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,168874889,38,38,0,0,27,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,168929911,51,0,2,0,0,1,0
DIGITAL,SubCanal 1,Grupo B,BASE,168949611,1,1,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,169044843,137,137,0,0,96,0,0
DIGITAL,SubCanal 1,Grupo C,LIDER HUNTER,169071829,40,13,26,0,9,9,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,169075984,82,82,0,0,57,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,169104203,144,33,51,0,23,18,0
DIGITAL,SubCanal 1,Grupo B,BASE,169254651,7,7,0,0,5,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,169507215,68,7,12,0,5,4,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,169542808,149,100,0,0,70,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,169547574,73,10,15,0,7,5,0
DIGITAL,SubCanal 1,Grupo B,BASE,169586617,600,564,0,36,395,0,18
DIGITAL,SubCanal 1,Grupo B,INSIDE A,169666732,103,0,0,103,0,0,52
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,169897095,551,551,0,0,386,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,169957230,54,5,0,0,4,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,16C9FC1C-24D2-4C85-A13A-552CAD6A2D95,330,0,0,330,0,0,165
DIGITAL,SubCanal 1,Grupo B,LARGE A,16DE8381-808A-4AF9-9985-93D1A0AEC5FD,1078,0,0,1078,0,0,539
DIGITAL,SubCanal 1,Grupo D,INSIDE,170045958,208,61,18,0,43,6,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,170050823,29,29,0,0,20,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,170193518,49,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD C,170239858,3945,3640,305,0,2548,107,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,170331133,23,23,0,0,16,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,170333537,67,5,13,0,3,5,0
DIGITAL,SubCanal 1,Grupo B,BASE,170394256,236,151,0,85,106,0,43
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,170400358,84,84,0,0,59,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,170469157,159,0,159,0,0,56,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,170479438,13,13,0,0,9,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,170559162,1,1,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,170721465,124,124,0,0,87,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,170769075,92,29,63,0,20,22,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,170868759,1689,259,1430,0,182,500,0
DIGITAL,SubCanal 1,Grupo B,BASE,170991166,47,47,0,0,33,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,171184874,152,89,12,0,63,4,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,171308816,-1,-1,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,171518807,133,133,0,0,93,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,171540934,28,28,0,0,20,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,171601892,73,26,47,0,18,17,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,171673578,268,140,79,0,98,28,0
DIGITAL,SubCanal 1,Grupo B,BASE,171858076,114,114,0,0,80,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,171919044,0,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,172008833,31,31,0,0,21,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172286901,164,57,56,0,40,20,0
DIGITAL,SubCanal 1,Grupo B,LARGE A,1722F6B9-A1A9-4B94-92B9-5D5F0AA90478,5354,0,0,5354,0,0,2677
DIGITAL,SubCanal 1,Grupo B,BASE,172309197,708,372,0,336,260,0,168
DIGITAL,SubCanal 1,Grupo C,OYOLA,172399842,4,-6,0,10,-4,0,5
DIGITAL,SubCanal 1,Grupo B,LARGE B,172438538,95,18,28,0,13,10,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172483280,88,20,19,0,14,7,0
DIGITAL,SubCanal 1,Grupo B,INSIDE A,172620849,2451,2451,0,0,1716,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172657928,79,15,15,0,11,5,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172659153,133,24,60,0,16,21,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172714953,60,8,3,0,6,1,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,172895089,52,3,1,0,2,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,172966574,14,0,0,14,0,0,7
DIGITAL,SubCanal 1,Grupo B,BASE,172990041,141,40,98,3,28,34,2
DIGITAL,SubCanal 1,Grupo B,LARGE B,173024471,73,13,12,0,9,4,0
DIGITAL,SubCanal 1,Grupo B,BASE,173033472,186,0,0,186,0,0,93
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,173086631,5,5,0,0,3,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,173121338,66,10,7,0,7,2,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,173184045,76,10,17,0,7,6,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,173220998,53,53,0,0,37,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,173228179,455,455,0,0,318,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,173251832,61,7,6,0,5,2,0
DIGITAL,SubCanal 1,Grupo B,FIELD A,173352985,48867,16829,32038,0,11780,11213,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,173360282,115,27,39,0,19,14,0
DIGITAL,SubCanal 1,Grupo B,BASE,173366033,0,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,173634072,226,126,101,0,88,35,0
DIGITAL,SubCanal 1,Grupo B,BASE,173794531,683,683,0,0,478,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,173927933,103,50,53,0,35,19,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,173963267,127,42,35,0,29,12,0
DIGITAL,SubCanal 1,Grupo B,BASE,173996818,39,21,18,0,15,6,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174082920,65,12,4,0,9,1,0
DIGITAL,SubCanal 1,Grupo B,BASE,174356475,8,8,0,0,5,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174515498,51,0,2,0,0,1,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174612560,72,11,11,0,8,4,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,174695220,1,1,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174771197,64,8,7,0,6,2,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174872008,388,231,106,0,162,37,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,174889370,2,2,0,0,2,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,174942293,74,9,16,0,7,6,0
DIGITAL,SubCanal 1,Grupo B,BASE,174950738,324,152,172,0,106,60,0
DIGITAL,SubCanal 1,Grupo B,BASE,175066248,219,15,204,0,11,72,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,175073085,159,31,79,0,22,28,0
DIGITAL,SubCanal 1,Grupo B,FIELD C,175118053,-29,-29,0,0,-20,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE A,175227008,11932,2331,9600,0,1632,3360,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,175386267,1,1,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,175580396,83,17,16,0,12,6,0
DIGITAL,SubCanal 1,Grupo B,BASE,175600449,4,4,0,0,3,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,175642883,1,1,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,INSIDE A,175649435,1689,1689,0,0,1183,0,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,175777296,6919,1332,5588,0,932,1956,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,175949070,57,3,5,0,2,2,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,176033624,1109,579,0,530,406,0,265
DIGITAL,SubCanal 1,Grupo B,INSIDE B,176232134,1335,1145,0,191,801,0,95
DIGITAL,SubCanal 1,Grupo B,BASE,176251160,602,602,0,0,421,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,176319271,31,31,0,0,22,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,176341386,20,12,8,0,8,3,0
DIGITAL,SubCanal 1,Grupo B,BASE,176388078,109,9,21,0,6,7,0
DIGITAL,SubCanal 1,Grupo B,BASE,176521945,59,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,176527849,84,14,21,0,10,7,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,176537717,51,2,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,176833490,374,374,0,0,261,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,176852938,73,11,13,0,8,4,0
DIGITAL,SubCanal 1,Grupo B,BASE,176910970,332,332,0,0,232,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177052966,78,13,16,0,9,5,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177055761,52,2,1,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177111666,89,17,22,0,12,8,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177115505,54,2,3,0,2,1,0
DIGITAL,SubCanal 1,Grupo B,BASE,177175804,20,20,0,0,14,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD A,177224134,62,62,0,0,43,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177230873,99,28,21,0,20,7,0
